,26.0 Beta,Accessibility,Fixed aria-expanded attribute support on navigation links.  (141163086),,https://bugs.webkit.org/buglist.cgi?content=141163086
,26.0 Beta,Accessibility,"Fixed presentational images with empty alt attributes to be ignored by assistive technology, even when additional labeling attributes are set.  (146429365)",,https://bugs.webkit.org/buglist.cgi?content=146429365
,26.0 Beta,Accessibility,"Fixed <figcaption> within a <figure> element to only contribute to the accessible name of an <img> element if the image lacks other labeling methods like alt, ARIA attributes, or the title attribute.  (150597445)",,https://bugs.webkit.org/buglist.cgi?content=150597445
,26.0 Beta,Accessibility,"Fixed invalid values for aria-setsize and aria-posinset are now handled according to the updated ARIA specification, to ensure correct accessibility API exposure and predictable behavior for these attributes.  (151113693)",,https://bugs.webkit.org/buglist.cgi?content=151113693
,26.0 Beta,Browser,Added support for SVG icons.  (113567909),,https://bugs.webkit.org/buglist.cgi?content=113567909
,26.0 Beta,Browser,Added support for reporting a website compatibility issue in Safari.  (133791139),,https://bugs.webkit.org/buglist.cgi?content=133791139
,26.0 Beta,Browser,Added support for data: URL icons.  (143967312),,https://bugs.webkit.org/buglist.cgi?content=143967312
,26.0 Beta,Canvas,Added HDR support in WebGPU Canvas.  (128164668),,https://bugs.webkit.org/buglist.cgi?content=128164668
,26.0 Beta,Canvas,Fixed re-drawing a canvas with relative width when the parent element is resized.  (121996660),,https://bugs.webkit.org/buglist.cgi?content=121996660
,26.0 Beta,Canvas,"Fixed getContext('2d', { colorSpace: 'display-p3' }) in iOS Simulator.  (151188818)",,https://bugs.webkit.org/buglist.cgi?content=151188818
,26.0 Beta,CSS,Added support for overflow-block and overflow-inline.  (70579028),,https://bugs.webkit.org/buglist.cgi?content=70579028
,26.0 Beta,CSS,Added support for text-wrap: pretty.  (114346258),,https://bugs.webkit.org/buglist.cgi?content=114346258
,26.0 Beta,CSS,Added support for the margin-trim: block inline syntax for trimming in both directions.  (141784069),,https://bugs.webkit.org/buglist.cgi?content=141784069
,26.0 Beta,CSS,"Added partial support for the dynamic-range-limit property: standard and no-limit, non-animatable.  (144486108)",,https://bugs.webkit.org/buglist.cgi?content=144486108
,26.0 Beta,CSS,Added support for contrast-color().  (144630635),,https://bugs.webkit.org/buglist.cgi?content=144630635
,26.0 Beta,CSS,Added support for Scroll Driven Animations.  (144887859),,https://bugs.webkit.org/buglist.cgi?content=144887859
,26.0 Beta,CSS,Added support for text-wrap-style: pretty.  (145577976),,https://bugs.webkit.org/buglist.cgi?content=145577976
,26.0 Beta,CSS,Added support for CSS Anchor Positioning.  (145681750),,https://bugs.webkit.org/buglist.cgi?content=145681750
,26.0 Beta,CSS,Added support for the self-alignment properties align-self and justify-self in absolute positioning.  (145689547),,https://bugs.webkit.org/buglist.cgi?content=145689547
,26.0 Beta,CSS,Added support for CSS progress() function.  (145717727),,https://bugs.webkit.org/buglist.cgi?content=145717727
,26.0 Beta,CSS,Added support for crossorigin() and referrerpolicy() modifiers on CSS image loads.  (149166339),,https://bugs.webkit.org/buglist.cgi?content=149166339
,26.0 Beta,CSS,"Fixed cursor: pointer not appearing on an <area> element used in conjunction with an <img usemap=""...""> element.  (74483873)",,https://bugs.webkit.org/buglist.cgi?content=74483873
,26.0 Beta,CSS,Fixed grid sizing with inline-size containment and auto-fit columns is incorrectly sized.  (108897961),,https://bugs.webkit.org/buglist.cgi?content=108897961
,26.0 Beta,CSS,Fixed content skipped with content-visibility: auto to be findable.  (141237620) (FB16079870),,https://bugs.webkit.org/buglist.cgi?content=141237620
,26.0 Beta,CSS,Fixed an issue wrapping an SVG at the end of a line when using text-wrap: balance.  (141532036),,https://bugs.webkit.org/buglist.cgi?content=141532036
,26.0 Beta,CSS,Fixed @font-face font-family descriptor to not allow a list of values.  (142009630),,https://bugs.webkit.org/buglist.cgi?content=142009630
,26.0 Beta,CSS,Fixed the computed value of a float with absolute positioning to be none when there is no box.  (144045558),,https://bugs.webkit.org/buglist.cgi?content=144045558
,26.0 Beta,CSS,Fixed: Updated contrast-color() to remove the max parameter.  (144611470),,https://bugs.webkit.org/buglist.cgi?content=144611470
,26.0 Beta,CSS,Fixed buttons to not have align-items: flex-start by default.  (146615626),,https://bugs.webkit.org/buglist.cgi?content=146615626
,26.0 Beta,CSS,Fixed @scope to create a style nested context.  (148101373),,https://bugs.webkit.org/buglist.cgi?content=148101373
,26.0 Beta,CSS,Fixed changing content-visibility from visible to hidden to repaint correctly.  (148273903),,https://bugs.webkit.org/buglist.cgi?content=148273903
,26.0 Beta,CSS,"Fixed an issue where float boxes, selections, and carets were incorrectly painted inside skipped subtrees.  (148741142)",,https://bugs.webkit.org/buglist.cgi?content=148741142
,26.0 Beta,CSS,Fixed incorrect getBoundingClientRect() inside skipped subtree on an out-of-flow positioned box.  (148770252),,https://bugs.webkit.org/buglist.cgi?content=148770252
,26.0 Beta,CSS,Fixed making <pre> and other elements use logical margins in the User-Agent stylesheet.  (149212392),,https://bugs.webkit.org/buglist.cgi?content=149212392
,26.0 Beta,CSS,The position-visibility property is partially supported with an implementation of the default anchors-visible value.  (129789653),,https://bugs.webkit.org/buglist.cgi?content=129789653
,26.0 Beta,CSS,Explicit anchor elements are required when using anchor functions on pseudo-elements. Implicit anchor element support is not currently supported.  (152635393),,https://bugs.webkit.org/buglist.cgi?content=152635393
,26.0 Beta,DOM,Fixed the serialization of CDATASection nodes in HTML.  (150739105),,https://bugs.webkit.org/buglist.cgi?content=150739105
,26.0 Beta,Editing,Added support for rendering native selection UI inside scrolled content.  (136988607),,https://bugs.webkit.org/buglist.cgi?content=136988607
,26.0 Beta,Editing,Fixed the selection UI to be clipped in overflow scrolling containers.  (9906345),,https://bugs.webkit.org/buglist.cgi?content=9906345
,26.0 Beta,Editing,Fixed selection issues caused by <br> elements between absolute positioned elements.  (123637358),,https://bugs.webkit.org/buglist.cgi?content=123637358
,26.0 Beta,Editing,Fixed selection failing to update during auto or keyboard scrolling.  (144581646),,https://bugs.webkit.org/buglist.cgi?content=144581646
,26.0 Beta,Forms,Fixed form associated ElementInternals always reporting a customError when using setValidity.  (115681066),,https://bugs.webkit.org/buglist.cgi?content=115681066
,26.0 Beta,Forms,Fixed setValidity of ElementInternals to handle missing optional anchor parameter.  (123744294),,https://bugs.webkit.org/buglist.cgi?content=123744294
,26.0 Beta,Forms,"Fixed programmatically assigned File objects to display the correct filename in <input> elements, even without a file path.  (152048377)",,https://bugs.webkit.org/buglist.cgi?content=152048377
,26.0 Beta,Forms,Fixed labels inside <select> elements to behave consistently with other browsers by using standard attribute matching instead of quirk mode handling.  (152151133),,https://bugs.webkit.org/buglist.cgi?content=152151133
,26.0 Beta,Images,"Added support for HDR Images on iOS, iPadOS, macOS and in visionOS.  (134397601)",,https://bugs.webkit.org/buglist.cgi?content=134397601
,26.0 Beta,JavaScript,Added support for Regular Expression Pattern Modifiers.  (131580854),,https://bugs.webkit.org/buglist.cgi?content=131580854
,26.0 Beta,JavaScript,Added support for @@dispose and @@asyncDispose from the Explicit Resource Management Proposal behind runtime flag.  (150816114),,https://bugs.webkit.org/buglist.cgi?content=150816114
,26.0 Beta,JavaScript,Added support for SuppressedError from the Explicit Resource Management Proposal behind runtime flag.  (151132111),,https://bugs.webkit.org/buglist.cgi?content=151132111
